block_id,eid,Education,Experience,Position,SalaryBand,probability
29,29,PhD,0-15,Manager,121k+,0.6499999999999999
29,29,PhD,0-15,Manager,70k-100k,0.06
30,30,Masters,0-15,Senior,70k-100k,0.7000000000000001
30,30,PhD,0-15,Senior,70k-100k,0.3
31,31,Masters,0-15,Senior,70k-100k,1.0
32,32,PhD,0-15,Senior,101k-120k,0.5
32,32,PhD,0-15,Senior,121k+,0.28
32,32,PhD,0-15,Senior,70k-100k,0.21999999999999997
33,33,Masters,0-15,Junior,101k-120k,0.161
33,33,Masters,0-15,Junior,121k+,0.035
33,33,Masters,0-15,Junior,70k-100k,0.504
33,33,PhD,0-15,Junior,101k-120k,0.06900000000000002
33,33,PhD,0-15,Junior,121k+,0.015000000000000005
33,33,PhD,0-15,Junior,70k-100k,0.21600000000000005
34,34,Masters,0-15,Junior,70k-100k,0.7
34,34,PhD,0-15,Junior,70k-100k,0.3000000000000001
35,35,Masters,15-30+,Manager,101k-120k,0.29
35,35,Masters,15-30+,Manager,121k+,0.6500000000000001
35,35,Masters,15-30+,Manager,70k-100k,0.060000000000000005
36,36,Masters,0-15,Junior,70k-100k,0.7
36,36,PhD,0-15,Junior,70k-100k,0.3000000000000001
37,37,PhD,0-15,Junior,70k-100k,0.8441558441558441
37,37,PhD,15-30+,Junior,70k-100k,0.15584415584415584
38,38,PhD,0-15,Senior,101k-120k,1.0
39,39,Masters,0-15,Junior,101k-120k,0.5909090909090909
39,39,Masters,15-30+,Junior,101k-120k,0.10909090909090909
39,39,PhD,0-15,Junior,101k-120k,0.25324675324675333
39,39,PhD,15-30+,Junior,101k-120k,0.04675324675324676
40,40,Masters,15-30+,Senior,101k-120k,1.0
41,41,Masters,0-15,Senior,101k-120k,1.0
42,42,Masters,0-15,Junior,70k-100k,1.0
43,43,Masters,0-15,Senior,101k-120k,0.8441558441558442
43,43,Masters,15-30+,Senior,101k-120k,0.15584415584415584
44,44,Masters,0-15,Manager,101k-120k,1.0
45,45,Masters,0-15,Senior,121k+,0.5909090909090909
45,45,Masters,15-30+,Senior,121k+,0.10909090909090909
45,45,PhD,0-15,Senior,121k+,0.2532467532467532
45,45,PhD,15-30+,Senior,121k+,0.04675324675324676
46,46,PhD,15-30+,Senior,101k-120k,1.0
47,47,Masters,0-15,Senior,101k-120k,0.7
47,47,PhD,0-15,Senior,101k-120k,0.3
48,48,Masters,0-15,Junior,121k+,1.0
49,49,Masters,0-15,Senior,101k-120k,0.42207792207792205
49,49,Masters,0-15,Senior,121k+,0.2363636363636364
49,49,Masters,0-15,Senior,70k-100k,0.18571428571428572
49,49,Masters,15-30+,Senior,101k-120k,0.07792207792207792
49,49,Masters,15-30+,Senior,121k+,0.04363636363636364
49,49,Masters,15-30+,Senior,70k-100k,0.03428571428571429
50,50,Masters,0-15,Senior,101k-120k,0.35000000000000003
50,50,Masters,0-15,Senior,121k+,0.196
50,50,Masters,0-15,Senior,70k-100k,0.154
50,50,PhD,0-15,Senior,101k-120k,0.15000000000000002
50,50,PhD,0-15,Senior,121k+,0.084
50,50,PhD,0-15,Senior,70k-100k,0.066
