block_id,Position,Experience,Education,probability
38,Senior,15-30+,PhD,0.3
39,Senior,15-30+,PhD,1.0
40,Junior,0-15,Masters,0.590909090909091
40,Junior,0-15,PhD,0.253246753246753
40,Junior,15-30+,Masters,0.109090909090909
40,Junior,15-30+,PhD,0.0467532467532468
41,Senior,15-30+,Masters,1.0
42,Senior,0-15,Masters,0.7
42,Senior,0-15,PhD,0.3
43,Senior,0-15,Masters,0.590909090909091
43,Senior,0-15,PhD,0.253246753246753
43,Senior,15-30+,Masters,0.109090909090909
43,Senior,15-30+,PhD,0.0467532467532468
44,Senior,0-15,Masters,1.0
45,Junior,0-15,Masters,0.590909090909091
45,Junior,0-15,PhD,0.253246753246753
45,Junior,15-30+,Masters,0.109090909090909
45,Junior,15-30+,PhD,0.0467532467532468
46,Senior,0-15,Masters,0.844155844155844
46,Senior,15-30+,Masters,0.155844155844156
47,Senior,0-15,Masters,0.844155844155844
47,Senior,15-30+,Masters,0.155844155844156
48,Senior,0-15,PhD,1.0
49,Senior,0-15,PhD,1.0
50,Senior,0-15,Masters,0.7
50,Senior,0-15,PhD,0.3
51,Senior,0-15,Masters,1.0
52,Senior,15-30+,Masters,1.0
53,Senior,15-30+,Masters,1.0
54,Senior,0-15,Masters,1.0
55,Junior,0-15,Masters,1.0
56,Senior,15-30+,Masters,0.7
56,Senior,15-30+,PhD,0.3
57,Senior,0-15,Masters,0.844155844155844
57,Senior,15-30+,Masters,0.155844155844156
58,Manager,15-30+,Masters,1.0
59,Senior,0-15,Masters,1.0
60,Senior,0-15,Masters,1.0
61,Senior,15-30+,Masters,0.7
61,Senior,15-30+,PhD,0.3
62,Junior,0-15,Masters,0.590909090909091
62,Junior,0-15,PhD,0.253246753246753
62,Junior,15-30+,Masters,0.109090909090909
62,Junior,15-30+,PhD,0.0467532467532468
63,Senior,0-15,Masters,0.7
63,Senior,0-15,PhD,0.3
64,Senior,0-15,PhD,1.0
65,Junior,0-15,Masters,0.590909090909091
65,Junior,0-15,PhD,0.253246753246753
65,Junior,15-30+,Masters,0.109090909090909
65,Junior,15-30+,PhD,0.0467532467532468
66,Manager,0-15,PhD,0.844155844155844
66,Manager,15-30+,PhD,0.155844155844156
67,Senior,0-15,Masters,1.0
68,Manager,0-15,Masters,0.844155844155844
68,Manager,15-30+,Masters,0.155844155844156
69,Junior,0-15,Masters,0.844155844155844
69,Junior,15-30+,Masters,0.155844155844156
70,Senior,0-15,Masters,0.7
70,Senior,0-15,PhD,0.3
71,Senior,15-30+,Masters,1.0
72,Senior,15-30+,Masters,1.0
73,Senior,0-15,Masters,1.0
74,Senior,15-30+,Masters,1.0
75,Manager,0-15,Masters,0.7
75,Manager,0-15,PhD,0.3
76,Senior,15-30+,Masters,0.7
76,Senior,15-30+,PhD,0.3
77,Senior,0-15,PhD,0.844155844155844
77,Senior,15-30+,PhD,0.155844155844156
78,Junior,0-15,Masters,0.844155844155844
78,Junior,15-30+,Masters,0.155844155844156
79,Junior,0-15,PhD,1.0
80,Junior,0-15,Masters,0.590909090909091
80,Junior,0-15,PhD,0.253246753246753
80,Junior,15-30+,Masters,0.109090909090909
80,Junior,15-30+,PhD,0.0467532467532468
81,Senior,0-15,Masters,1.0
82,Senior,0-15,Masters,1.0
83,Manager,0-15,Masters,0.7
83,Manager,0-15,PhD,0.3
84,Junior,0-15,Masters,0.844155844155844
84,Junior,15-30+,Masters,0.155844155844156
85,Senior,0-15,PhD,0.844155844155844
85,Senior,15-30+,PhD,0.155844155844156
86,Senior,15-30+,PhD,1.0
87,Junior,0-15,Masters,0.7
87,Junior,0-15,PhD,0.3
88,Manager,0-15,PhD,1.0
89,Senior,0-15,Masters,1.0
90,Junior,0-15,Masters,1.0
91,Junior,0-15,Masters,0.7
91,Junior,0-15,PhD,0.3
92,Senior,0-15,PhD,1.0
93,Junior,0-15,Masters,0.7
93,Junior,0-15,PhD,0.3
94,Senior,0-15,Masters,0.590909090909091
94,Senior,0-15,PhD,0.253246753246753
94,Senior,15-30+,Masters,0.109090909090909
94,Senior,15-30+,PhD,0.0467532467532468
95,Senior,15-30+,Masters,0.7
95,Senior,15-30+,PhD,0.3
96,Junior,0-15,Masters,0.844155844155844
96,Junior,15-30+,Masters,0.155844155844156
97,Manager,15-30+,Masters,1.0
98,Senior,15-30+,Masters,1.0
99,Senior,0-15,Masters,0.590909090909091
99,Senior,0-15,PhD,0.253246753246753
99,Senior,15-30+,Masters,0.109090909090909
99,Senior,15-30+,PhD,0.0467532467532468
100,Senior,0-15,PhD,1.0
