block_id,eid,Education,Experience,Position,probability
27,27,Masters,0-15,Senior,0.590909090909091
27,27,Masters,15-30+,Senior,0.109090909090909
27,27,PhD,0-15,Senior,0.253246753246753
27,27,PhD,15-30+,Senior,0.0467532467532468
28,28,Masters,0-15,Junior,0.590909090909091
28,28,Masters,15-30+,Junior,0.109090909090909
28,28,PhD,0-15,Junior,0.253246753246753
28,28,PhD,15-30+,Junior,0.0467532467532468
29,29,PhD,0-15,Senior,1.0
30,30,Masters,15-30+,Junior,1.0
31,31,PhD,15-30+,Senior,1.0
32,32,Masters,15-30+,Manager,1.0
33,33,Masters,0-15,Junior,0.590909090909091
33,33,Masters,15-30+,Junior,0.109090909090909
33,33,PhD,0-15,Junior,0.253246753246753
33,33,PhD,15-30+,Junior,0.0467532467532468
34,34,Masters,15-30+,Senior,1.0
35,35,Masters,0-15,Senior,1.0
36,36,Masters,0-15,Senior,1.0
37,37,Masters,0-15,Junior,0.844155844155844
37,37,Masters,15-30+,Junior,0.155844155844156
38,38,Masters,15-30+,Senior,0.7
38,38,PhD,15-30+,Senior,0.3
39,39,PhD,15-30+,Senior,1.0
40,40,Masters,0-15,Junior,0.590909090909091
40,40,Masters,15-30+,Junior,0.109090909090909
40,40,PhD,0-15,Junior,0.253246753246753
40,40,PhD,15-30+,Junior,0.0467532467532468
41,41,Masters,15-30+,Senior,1.0
42,42,Masters,0-15,Senior,0.7
42,42,PhD,0-15,Senior,0.3
43,43,Masters,0-15,Senior,0.590909090909091
43,43,Masters,15-30+,Senior,0.109090909090909
43,43,PhD,0-15,Senior,0.253246753246753
43,43,PhD,15-30+,Senior,0.0467532467532468
44,44,Masters,0-15,Senior,1.0
45,45,Masters,0-15,Junior,0.590909090909091
45,45,Masters,15-30+,Junior,0.109090909090909
45,45,PhD,0-15,Junior,0.253246753246753
45,45,PhD,15-30+,Junior,0.0467532467532468
46,46,Masters,0-15,Senior,0.844155844155844
46,46,Masters,15-30+,Senior,0.155844155844156
47,47,Masters,0-15,Senior,0.844155844155844
47,47,Masters,15-30+,Senior,0.155844155844156
48,48,PhD,0-15,Senior,1.0
49,49,PhD,0-15,Senior,1.0
50,50,Masters,0-15,Senior,0.7
50,50,PhD,0-15,Senior,0.3
51,51,Masters,0-15,Senior,1.0
52,52,Masters,15-30+,Senior,1.0
53,53,Masters,15-30+,Senior,1.0
54,54,Masters,0-15,Senior,1.0
55,55,Masters,0-15,Junior,1.0
56,56,Masters,15-30+,Senior,0.7
56,56,PhD,15-30+,Senior,0.3
57,57,Masters,0-15,Senior,0.844155844155844
57,57,Masters,15-30+,Senior,0.155844155844156
58,58,Masters,15-30+,Manager,1.0
59,59,Masters,0-15,Senior,1.0
60,60,Masters,0-15,Senior,1.0
61,61,Masters,15-30+,Senior,0.7
61,61,PhD,15-30+,Senior,0.3
62,62,Masters,0-15,Junior,0.590909090909091
62,62,Masters,15-30+,Junior,0.109090909090909
62,62,PhD,0-15,Junior,0.253246753246753
62,62,PhD,15-30+,Junior,0.0467532467532468
63,63,Masters,0-15,Senior,0.7
63,63,PhD,0-15,Senior,0.3
64,64,PhD,0-15,Senior,1.0
65,65,Masters,0-15,Junior,0.590909090909091
65,65,Masters,15-30+,Junior,0.109090909090909
65,65,PhD,0-15,Junior,0.253246753246753
65,65,PhD,15-30+,Junior,0.0467532467532468
66,66,PhD,0-15,Manager,0.844155844155844
66,66,PhD,15-30+,Manager,0.155844155844156
67,67,Masters,0-15,Senior,1.0
68,68,Masters,0-15,Manager,0.844155844155844
68,68,Masters,15-30+,Manager,0.155844155844156
69,69,Masters,0-15,Junior,0.844155844155844
69,69,Masters,15-30+,Junior,0.155844155844156
70,70,Masters,0-15,Senior,0.7
70,70,PhD,0-15,Senior,0.3
71,71,Masters,15-30+,Senior,1.0
72,72,Masters,15-30+,Senior,1.0
73,73,Masters,0-15,Senior,1.0
74,74,Masters,15-30+,Senior,1.0
75,75,Masters,0-15,Manager,0.7
75,75,PhD,0-15,Manager,0.3
76,76,Masters,15-30+,Senior,0.7
76,76,PhD,15-30+,Senior,0.3
77,77,PhD,0-15,Senior,0.844155844155844
77,77,PhD,15-30+,Senior,0.155844155844156
78,78,Masters,0-15,Junior,0.844155844155844
78,78,Masters,15-30+,Junior,0.155844155844156
79,79,PhD,0-15,Junior,1.0
80,80,Masters,0-15,Junior,0.590909090909091
80,80,Masters,15-30+,Junior,0.109090909090909
80,80,PhD,0-15,Junior,0.253246753246753
80,80,PhD,15-30+,Junior,0.0467532467532468
81,81,Masters,0-15,Senior,1.0
82,82,Masters,0-15,Senior,1.0
83,83,Masters,0-15,Manager,0.7
83,83,PhD,0-15,Manager,0.3
84,84,Masters,0-15,Junior,0.844155844155844
84,84,Masters,15-30+,Junior,0.155844155844156
85,85,PhD,0-15,Senior,0.844155844155844
85,85,PhD,15-30+,Senior,0.155844155844156
86,86,PhD,15-30+,Senior,1.0
87,87,Masters,0-15,Junior,0.7
87,87,PhD,0-15,Junior,0.3
88,88,PhD,0-15,Manager,1.0
89,89,Masters,0-15,Senior,1.0
90,90,Masters,0-15,Junior,1.0
91,91,Masters,0-15,Junior,0.7
91,91,PhD,0-15,Junior,0.3
92,92,PhD,0-15,Senior,1.0
93,93,Masters,0-15,Junior,0.7
93,93,PhD,0-15,Junior,0.3
94,94,Masters,0-15,Senior,0.590909090909091
94,94,Masters,15-30+,Senior,0.109090909090909
94,94,PhD,0-15,Senior,0.253246753246753
94,94,PhD,15-30+,Senior,0.0467532467532468
95,95,Masters,15-30+,Senior,0.7
95,95,PhD,15-30+,Senior,0.3
96,96,Masters,0-15,Junior,0.844155844155844
96,96,Masters,15-30+,Junior,0.155844155844156
97,97,Masters,15-30+,Manager,1.0
98,98,Masters,15-30+,Senior,1.0
99,99,Masters,0-15,Senior,0.590909090909091
99,99,Masters,15-30+,Senior,0.109090909090909
99,99,PhD,0-15,Senior,0.253246753246753
99,99,PhD,15-30+,Senior,0.0467532467532468
100,100,PhD,0-15,Senior,1.0
