block_id,Education,Experience,Position,probability
48,PhD,0-15,Junior,0.8441558441558441
48,PhD,15-30+,Junior,0.15584415584415584
49,Masters,0-15,Junior,0.8441558441558441
49,Masters,15-30+,Junior,0.15584415584415584
50,Masters,15-30+,Senior,1.0
51,Masters,0-15,Senior,0.590909090909091
51,Masters,15-30+,Senior,0.10909090909090909
51,PhD,0-15,Senior,0.2532467532467533
51,PhD,15-30+,Senior,0.046753246753246755
52,Masters,15-30+,Manager,1.0000000000000002
53,PhD,15-30+,Senior,1.0
54,Masters,15-30+,Manager,0.6999999999999998
54,PhD,15-30+,Manager,0.30000000000000004
55,Masters,0-15,Manager,0.6999999999999998
55,PhD,0-15,Manager,0.30000000000000004
56,Masters,15-30+,Senior,1.0
57,Masters,0-15,Senior,0.7000000000000001
57,PhD,0-15,Senior,0.3
58,Masters,0-15,Senior,0.8441558441558441
58,Masters,15-30+,Senior,0.15584415584415584
59,Masters,0-15,Senior,1.0
60,Masters,15-30+,Senior,1.0
61,PhD,15-30+,Senior,1.0
62,PhD,0-15,Junior,0.8441558441558441
62,PhD,15-30+,Junior,0.15584415584415584
63,Masters,15-30+,Manager,1.0
64,Masters,0-15,Junior,0.5909090909090908
64,Masters,15-30+,Junior,0.10909090909090907
64,PhD,0-15,Junior,0.2532467532467533
64,PhD,15-30+,Junior,0.046753246753246755
65,Masters,0-15,Junior,0.5909090909090908
65,Masters,15-30+,Junior,0.10909090909090907
65,PhD,0-15,Junior,0.2532467532467533
65,PhD,15-30+,Junior,0.046753246753246755
66,Masters,0-15,Junior,0.5909090909090908
66,Masters,15-30+,Junior,0.10909090909090907
66,PhD,0-15,Junior,0.2532467532467533
66,PhD,15-30+,Junior,0.046753246753246755
67,Masters,15-30+,Senior,0.7
67,PhD,15-30+,Senior,0.30000000000000004
68,Masters,0-15,Senior,0.8441558441558441
68,Masters,15-30+,Senior,0.15584415584415584
69,PhD,15-30+,Senior,1.0
70,Masters,15-30+,Manager,1.0000000000000002
71,Masters,0-15,Junior,0.5909090909090908
71,Masters,15-30+,Junior,0.10909090909090907
71,PhD,0-15,Junior,0.2532467532467533
71,PhD,15-30+,Junior,0.046753246753246755
72,Masters,0-15,Senior,0.8441558441558442
72,Masters,15-30+,Senior,0.15584415584415584
73,Masters,15-30+,Senior,0.7
73,PhD,15-30+,Senior,0.3
74,PhD,0-15,Senior,0.8441558441558441
74,PhD,15-30+,Senior,0.15584415584415584
75,Masters,0-15,Senior,1.0
76,Masters,0-15,Junior,0.7
76,PhD,0-15,Junior,0.30000000000000004
77,Masters,0-15,Junior,0.7
77,PhD,0-15,Junior,0.3000000000000001
78,PhD,0-15,Manager,0.8441558441558442
78,PhD,15-30+,Manager,0.15584415584415584
79,PhD,0-15,Manager,0.8441558441558442
79,PhD,15-30+,Manager,0.15584415584415584
80,Masters,0-15,Senior,1.0
81,Masters,0-15,Senior,0.590909090909091
81,Masters,15-30+,Senior,0.10909090909090909
81,PhD,0-15,Senior,0.2532467532467533
81,PhD,15-30+,Senior,0.046753246753246755
82,Masters,0-15,Junior,1.0
83,Masters,0-15,Junior,0.5909090909090908
83,Masters,15-30+,Junior,0.10909090909090907
83,PhD,0-15,Junior,0.2532467532467533
83,PhD,15-30+,Junior,0.046753246753246755
84,Masters,15-30+,Senior,0.7
84,PhD,15-30+,Senior,0.30000000000000004
85,Masters,0-15,Junior,1.0
86,Masters,0-15,Junior,0.8441558441558441
86,Masters,15-30+,Junior,0.15584415584415584
87,PhD,0-15,Manager,1.0
88,Masters,15-30+,Manager,1.0
89,PhD,0-15,Manager,1.0
90,Masters,0-15,Junior,1.0
91,Masters,0-15,Manager,0.8441558441558441
91,Masters,15-30+,Manager,0.15584415584415584
92,Masters,15-30+,Senior,0.7
92,PhD,15-30+,Senior,0.30000000000000004
93,Masters,0-15,Junior,0.7
93,PhD,0-15,Junior,0.30000000000000004
94,Masters,0-15,Senior,0.7
94,PhD,0-15,Senior,0.3
95,Masters,0-15,Senior,0.7
95,PhD,0-15,Senior,0.3
96,PhD,15-30+,Senior,1.0
97,Masters,0-15,Manager,1.0
98,Masters,0-15,Senior,0.8441558441558442
98,Masters,15-30+,Senior,0.15584415584415584
99,Masters,0-15,Senior,0.7
99,PhD,0-15,Senior,0.3
100,Masters,15-30+,Senior,1.0
101,PhD,15-30+,Manager,1.0
102,PhD,0-15,Senior,1.0
103,Masters,0-15,Senior,1.0
104,Masters,0-15,Junior,0.7
104,PhD,0-15,Junior,0.3000000000000001
105,Masters,0-15,Junior,0.8441558441558441
105,Masters,15-30+,Junior,0.15584415584415584
106,PhD,15-30+,Senior,1.0
107,PhD,0-15,Senior,0.8441558441558442
107,PhD,15-30+,Senior,0.15584415584415584
108,Masters,0-15,Senior,0.7000000000000001
108,PhD,0-15,Senior,0.30000000000000004
109,PhD,0-15,Senior,1.0
110,Masters,0-15,Senior,0.8441558441558442
110,Masters,15-30+,Senior,0.15584415584415584
111,PhD,0-15,Senior,0.8441558441558441
111,PhD,15-30+,Senior,0.15584415584415584
112,PhD,15-30+,Senior,1.0
113,Masters,0-15,Senior,1.0
114,Masters,0-15,Manager,0.6999999999999998
114,PhD,0-15,Manager,0.30000000000000004
115,Masters,0-15,Senior,0.5909090909090909
115,Masters,15-30+,Senior,0.10909090909090906
115,PhD,0-15,Senior,0.2532467532467532
115,PhD,15-30+,Senior,0.046753246753246755
116,Masters,0-15,Junior,0.5909090909090908
116,Masters,15-30+,Junior,0.10909090909090907
116,PhD,0-15,Junior,0.2532467532467533
116,PhD,15-30+,Junior,0.046753246753246755
117,Masters,15-30+,Senior,0.7
117,PhD,15-30+,Senior,0.30000000000000004
118,Masters,0-15,Senior,1.0
119,Masters,0-15,Senior,0.7000000000000001
119,PhD,0-15,Senior,0.30000000000000004
120,PhD,15-30+,Manager,1.0
121,Masters,15-30+,Manager,0.7
121,PhD,15-30+,Manager,0.3000000000000001
122,Masters,15-30+,Manager,1.0
123,PhD,0-15,Junior,0.8441558441558441
123,PhD,15-30+,Junior,0.15584415584415584
124,PhD,0-15,Senior,0.8441558441558441
124,PhD,15-30+,Senior,0.15584415584415584
125,Masters,0-15,Manager,1.0
126,Masters,15-30+,Manager,0.7
126,PhD,15-30+,Manager,0.30000000000000004
127,Masters,0-15,Junior,0.7
127,PhD,0-15,Junior,0.30000000000000004
128,Masters,0-15,Junior,0.8441558441558441
128,Masters,15-30+,Junior,0.15584415584415584
129,Masters,0-15,Manager,1.0
130,Masters,0-15,Senior,0.8441558441558441
130,Masters,15-30+,Senior,0.15584415584415584
131,PhD,0-15,Manager,0.8441558441558441
131,PhD,15-30+,Manager,0.15584415584415584
132,Masters,15-30+,Manager,1.0
133,Masters,0-15,Senior,0.8441558441558441
133,Masters,15-30+,Senior,0.15584415584415584
134,PhD,0-15,Senior,1.0
135,Masters,15-30+,Senior,1.0
136,Masters,0-15,Junior,0.7
136,PhD,0-15,Junior,0.3000000000000001
137,PhD,0-15,Manager,1.0
138,Masters,15-30+,Senior,1.0
139,Masters,15-30+,Manager,1.0
140,Masters,15-30+,Senior,0.7
140,PhD,15-30+,Senior,0.30000000000000004
141,PhD,0-15,Senior,1.0
142,Masters,0-15,Manager,0.7
142,PhD,0-15,Manager,0.30000000000000004
143,Masters,15-30+,Senior,0.7
143,PhD,15-30+,Senior,0.30000000000000004
144,Masters,0-15,Senior,0.590909090909091
144,Masters,15-30+,Senior,0.10909090909090909
144,PhD,0-15,Senior,0.2532467532467533
144,PhD,15-30+,Senior,0.046753246753246755
145,Masters,15-30+,Senior,1.0
146,Masters,15-30+,Manager,1.0000000000000002
147,Masters,15-30+,Manager,1.0
148,Masters,0-15,Junior,1.0
149,Masters,0-15,Junior,1.0
150,Masters,0-15,Junior,0.8441558441558441
150,Masters,15-30+,Junior,0.15584415584415584
151,PhD,0-15,Senior,0.8441558441558442
151,PhD,15-30+,Senior,0.15584415584415584
152,Masters,0-15,Junior,0.8441558441558441
152,Masters,15-30+,Junior,0.15584415584415584
153,Masters,15-30+,Senior,1.0
154,Masters,0-15,Junior,0.8441558441558441
154,Masters,15-30+,Junior,0.15584415584415584
155,PhD,15-30+,Senior,1.0
156,Masters,15-30+,Senior,1.0
157,Masters,0-15,Manager,1.0
158,Masters,15-30+,Senior,1.0
159,Masters,0-15,Senior,0.8441558441558441
159,Masters,15-30+,Senior,0.15584415584415587
160,Masters,0-15,Senior,1.0
161,PhD,0-15,Manager,0.8441558441558441
161,PhD,15-30+,Manager,0.15584415584415584
162,Masters,0-15,Junior,1.0
163,Masters,0-15,Manager,0.8441558441558441
163,Masters,15-30+,Manager,0.15584415584415584
164,Masters,0-15,Manager,0.8441558441558441
164,Masters,15-30+,Manager,0.15584415584415584
165,Masters,0-15,Senior,1.0
166,Masters,0-15,Senior,1.0
167,PhD,15-30+,Senior,1.0
168,Masters,0-15,Manager,0.8441558441558442
168,Masters,15-30+,Manager,0.15584415584415584
169,Masters,0-15,Junior,0.5909090909090908
169,Masters,15-30+,Junior,0.10909090909090907
169,PhD,0-15,Junior,0.2532467532467533
169,PhD,15-30+,Junior,0.046753246753246755
170,Masters,0-15,Manager,1.0
171,Masters,15-30+,Manager,0.7
171,PhD,15-30+,Manager,0.30000000000000004
172,Masters,0-15,Senior,1.0
173,Masters,0-15,Senior,1.0
174,Masters,15-30+,Junior,0.7
174,PhD,15-30+,Junior,0.3000000000000001
175,Masters,15-30+,Manager,1.0000000000000002
176,Masters,0-15,Junior,1.0
177,Masters,0-15,Senior,1.0
178,Masters,15-30+,Senior,0.7
178,PhD,15-30+,Senior,0.3
179,PhD,0-15,Senior,1.0
180,PhD,0-15,Senior,1.0
181,PhD,0-15,Senior,0.8441558441558441
181,PhD,15-30+,Senior,0.15584415584415584
182,Masters,0-15,Senior,0.8441558441558442
182,Masters,15-30+,Senior,0.15584415584415584
183,Masters,0-15,Senior,0.5909090909090909
183,Masters,15-30+,Senior,0.10909090909090906
183,PhD,0-15,Senior,0.2532467532467532
183,PhD,15-30+,Senior,0.046753246753246755
184,Masters,15-30+,Senior,1.0
185,Masters,0-15,Junior,0.8441558441558441
185,Masters,15-30+,Junior,0.15584415584415584
186,Masters,0-15,Senior,1.0
187,Masters,15-30+,Manager,1.0
188,Masters,0-15,Junior,1.0
189,PhD,15-30+,Senior,1.0
190,Masters,0-15,Junior,1.0
191,Masters,15-30+,Senior,1.0
192,Masters,15-30+,Junior,1.0
193,Masters,0-15,Senior,1.0
194,Masters,0-15,Senior,1.0
195,Masters,0-15,Junior,0.8441558441558441
195,Masters,15-30+,Junior,0.15584415584415584
196,Masters,15-30+,Manager,1.0
197,Masters,0-15,Senior,1.0
198,PhD,15-30+,Senior,1.0
199,Masters,0-15,Manager,0.8441558441558441
199,Masters,15-30+,Manager,0.15584415584415584
200,Masters,0-15,Senior,1.0
201,Masters,15-30+,Junior,0.7
201,PhD,15-30+,Junior,0.30000000000000004
202,Masters,15-30+,Senior,0.7
202,PhD,15-30+,Senior,0.3
203,Masters,0-15,Senior,0.8441558441558441
203,Masters,15-30+,Senior,0.15584415584415584
204,Masters,0-15,Senior,0.8441558441558441
204,Masters,15-30+,Senior,0.15584415584415587
205,Masters,0-15,Junior,0.7
205,PhD,0-15,Junior,0.3000000000000001
206,Masters,0-15,Junior,0.7
206,PhD,0-15,Junior,0.30000000000000004
207,Masters,15-30+,Manager,0.6999999999999998
207,PhD,15-30+,Manager,0.30000000000000004
208,Masters,15-30+,Senior,1.0
209,Masters,0-15,Junior,1.0
210,Masters,15-30+,Senior,0.7
210,PhD,15-30+,Senior,0.3
211,Masters,15-30+,Manager,1.0000000000000002
212,Masters,0-15,Senior,0.8441558441558441
212,Masters,15-30+,Senior,0.15584415584415587
213,Masters,0-15,Senior,0.8441558441558441
213,Masters,15-30+,Senior,0.15584415584415587
214,Masters,0-15,Senior,0.8441558441558441
214,Masters,15-30+,Senior,0.15584415584415584
215,Masters,0-15,Senior,0.590909090909091
215,Masters,15-30+,Senior,0.10909090909090909
215,PhD,0-15,Senior,0.2532467532467533
215,PhD,15-30+,Senior,0.046753246753246755
216,Masters,0-15,Junior,0.7
216,PhD,0-15,Junior,0.3000000000000001
217,Masters,0-15,Senior,0.5909090909090909
217,Masters,15-30+,Senior,0.10909090909090907
217,PhD,0-15,Senior,0.2532467532467532
217,PhD,15-30+,Senior,0.046753246753246755
218,PhD,0-15,Senior,0.8441558441558441
218,PhD,15-30+,Senior,0.15584415584415584
219,Masters,15-30+,Senior,0.7
219,PhD,15-30+,Senior,0.3
220,Masters,15-30+,Manager,1.0000000000000002
221,Masters,0-15,Senior,0.7000000000000001
221,PhD,0-15,Senior,0.3
222,Masters,0-15,Manager,1.0
223,PhD,0-15,Manager,1.0
224,PhD,15-30+,Manager,1.0
225,Masters,0-15,Senior,1.0
226,Masters,15-30+,Manager,1.0000000000000002
227,Masters,0-15,Junior,0.5909090909090908
227,Masters,15-30+,Junior,0.10909090909090907
227,PhD,0-15,Junior,0.2532467532467533
227,PhD,15-30+,Junior,0.046753246753246755
228,Masters,0-15,Manager,0.5909090909090908
228,Masters,15-30+,Manager,0.10909090909090907
228,PhD,0-15,Manager,0.2532467532467533
228,PhD,15-30+,Manager,0.04675324675324676
229,Masters,0-15,Senior,0.8441558441558441
229,Masters,15-30+,Senior,0.15584415584415587
230,Masters,0-15,Junior,0.8441558441558442
230,Masters,15-30+,Junior,0.15584415584415584
231,PhD,0-15,Senior,1.0
232,Masters,15-30+,Manager,0.7
232,PhD,15-30+,Manager,0.3000000000000001
233,Masters,15-30+,Senior,1.0
234,PhD,15-30+,Senior,1.0
235,Masters,0-15,Junior,0.7
235,PhD,0-15,Junior,0.3000000000000001
236,PhD,0-15,Senior,0.8441558441558442
236,PhD,15-30+,Senior,0.15584415584415587
237,Masters,0-15,Senior,1.0
238,Masters,0-15,Junior,1.0
239,PhD,15-30+,Senior,1.0
240,Masters,15-30+,Senior,0.7
240,PhD,15-30+,Senior,0.30000000000000004
241,Masters,0-15,Senior,0.7000000000000001
241,PhD,0-15,Senior,0.30000000000000004
242,Masters,0-15,Senior,0.8441558441558442
242,Masters,15-30+,Senior,0.15584415584415584
243,Masters,0-15,Senior,1.0
244,Masters,0-15,Junior,0.7
244,PhD,0-15,Junior,0.3000000000000001
245,Masters,0-15,Senior,1.0
246,Masters,15-30+,Senior,1.0
247,Masters,0-15,Manager,0.8441558441558441
247,Masters,15-30+,Manager,0.15584415584415584
248,Masters,0-15,Junior,0.5909090909090908
248,Masters,15-30+,Junior,0.10909090909090907
248,PhD,0-15,Junior,0.2532467532467533
248,PhD,15-30+,Junior,0.046753246753246755
249,Masters,15-30+,Senior,1.0
250,Masters,0-15,Senior,0.8441558441558442
250,Masters,15-30+,Senior,0.15584415584415584
251,Masters,0-15,Senior,1.0
252,Masters,15-30+,Manager,0.7
252,PhD,15-30+,Manager,0.3000000000000001
253,Masters,0-15,Junior,0.8441558441558441
253,Masters,15-30+,Junior,0.15584415584415584
254,Masters,0-15,Junior,1.0
255,Masters,0-15,Manager,0.6999999999999998
255,PhD,0-15,Manager,0.30000000000000004
256,Masters,0-15,Senior,0.590909090909091
256,Masters,15-30+,Senior,0.10909090909090909
256,PhD,0-15,Senior,0.2532467532467533
256,PhD,15-30+,Senior,0.046753246753246755
257,Masters,15-30+,Manager,1.0000000000000002
258,Masters,0-15,Junior,1.0
259,Masters,0-15,Senior,0.590909090909091
259,Masters,15-30+,Senior,0.10909090909090909
259,PhD,0-15,Senior,0.2532467532467533
259,PhD,15-30+,Senior,0.046753246753246755
260,Masters,15-30+,Senior,1.0
261,Masters,15-30+,Junior,0.7
261,PhD,15-30+,Junior,0.30000000000000004
262,Masters,0-15,Senior,1.0
263,Masters,0-15,Senior,0.590909090909091
263,Masters,15-30+,Senior,0.10909090909090909
263,PhD,0-15,Senior,0.2532467532467533
263,PhD,15-30+,Senior,0.046753246753246755
264,Masters,0-15,Junior,0.7
264,PhD,0-15,Junior,0.30000000000000004
265,Masters,0-15,Junior,0.8441558441558441
265,Masters,15-30+,Junior,0.15584415584415584
266,Masters,0-15,Senior,0.7
266,PhD,0-15,Senior,0.30000000000000004
267,Masters,0-15,Senior,0.8441558441558442
267,Masters,15-30+,Senior,0.15584415584415584
268,Masters,0-15,Manager,0.8441558441558441
268,Masters,15-30+,Manager,0.1558441558441558
269,Masters,15-30+,Manager,1.0
270,Masters,0-15,Junior,1.0
271,Masters,15-30+,Senior,1.0
272,Masters,0-15,Senior,0.7
272,PhD,0-15,Senior,0.3
273,Masters,0-15,Manager,1.0
274,PhD,15-30+,Senior,1.0
275,Masters,15-30+,Manager,0.7
275,PhD,15-30+,Manager,0.30000000000000004
276,Masters,0-15,Junior,0.7
276,PhD,0-15,Junior,0.3000000000000001
277,Masters,0-15,Manager,1.0
278,Masters,15-30+,Senior,1.0
279,PhD,0-15,Junior,1.0
280,PhD,15-30+,Senior,1.0
281,Masters,15-30+,Senior,0.7
281,PhD,15-30+,Senior,0.3
282,Masters,15-30+,Senior,1.0
283,PhD,15-30+,Manager,1.0
284,Masters,0-15,Senior,0.590909090909091
284,Masters,15-30+,Senior,0.10909090909090909
284,PhD,0-15,Senior,0.2532467532467533
284,PhD,15-30+,Senior,0.046753246753246755
285,PhD,0-15,Senior,0.8441558441558441
285,PhD,15-30+,Senior,0.15584415584415584
286,Masters,15-30+,Senior,1.0
287,Masters,0-15,Senior,1.0
288,Masters,15-30+,Junior,1.0
289,Masters,0-15,Junior,0.7
289,PhD,0-15,Junior,0.3000000000000001
290,Masters,0-15,Senior,0.8441558441558442
290,Masters,15-30+,Senior,0.15584415584415584
291,Masters,0-15,Manager,0.6999999999999998
291,PhD,0-15,Manager,0.30000000000000004
292,Masters,15-30+,Senior,1.0
293,Masters,0-15,Senior,1.0
294,Masters,0-15,Junior,0.8441558441558441
294,Masters,15-30+,Junior,0.15584415584415584
295,Masters,0-15,Senior,0.590909090909091
295,Masters,15-30+,Senior,0.10909090909090909
295,PhD,0-15,Senior,0.2532467532467533
295,PhD,15-30+,Senior,0.046753246753246755
296,Masters,0-15,Senior,0.7000000000000001
296,PhD,0-15,Senior,0.3
297,Masters,15-30+,Senior,1.0
298,Masters,0-15,Senior,0.7
298,PhD,0-15,Senior,0.30000000000000004
299,Masters,0-15,Senior,0.5909090909090909
299,Masters,15-30+,Senior,0.10909090909090907
299,PhD,0-15,Senior,0.2532467532467532
299,PhD,15-30+,Senior,0.046753246753246755
300,Masters,15-30+,Senior,1.0
301,Masters,0-15,Senior,0.8441558441558441
301,Masters,15-30+,Senior,0.15584415584415584
302,PhD,15-30+,Senior,1.0
303,PhD,0-15,Senior,1.0
304,Masters,0-15,Manager,0.6999999999999998
304,PhD,0-15,Manager,0.30000000000000004
305,Masters,0-15,Manager,0.6999999999999998
305,PhD,0-15,Manager,0.30000000000000004
306,Masters,0-15,Senior,1.0
307,Masters,15-30+,Junior,1.0
308,Masters,15-30+,Manager,0.6999999999999998
308,PhD,15-30+,Manager,0.30000000000000004
309,Masters,0-15,Senior,1.0
310,Masters,0-15,Senior,0.7
310,PhD,0-15,Senior,0.30000000000000004
311,Masters,0-15,Manager,0.8441558441558442
311,Masters,15-30+,Manager,0.15584415584415584
312,Masters,0-15,Junior,1.0
313,Masters,0-15,Senior,1.0
314,PhD,0-15,Manager,1.0
315,Masters,15-30+,Junior,1.0
316,Masters,15-30+,Manager,1.0000000000000002
317,Masters,15-30+,Senior,1.0
318,PhD,15-30+,Manager,1.0
319,PhD,15-30+,Senior,1.0
320,Masters,0-15,Senior,1.0
321,Masters,0-15,Senior,0.7
321,PhD,0-15,Senior,0.3
322,Masters,0-15,Senior,0.7
322,PhD,0-15,Senior,0.3
323,PhD,0-15,Manager,1.0
324,PhD,0-15,Senior,0.8441558441558442
324,PhD,15-30+,Senior,0.15584415584415584
325,Masters,15-30+,Senior,1.0
326,Masters,15-30+,Junior,1.0
327,Masters,0-15,Senior,1.0
328,Masters,0-15,Senior,1.0
329,PhD,0-15,Senior,0.8441558441558442
329,PhD,15-30+,Senior,0.15584415584415584
330,Masters,15-30+,Senior,1.0
331,PhD,0-15,Manager,1.0
332,Masters,15-30+,Senior,1.0
333,PhD,0-15,Senior,0.8441558441558442
333,PhD,15-30+,Senior,0.15584415584415584
334,Masters,0-15,Junior,0.7
334,PhD,0-15,Junior,0.30000000000000004
335,Masters,15-30+,Manager,0.7
335,PhD,15-30+,Manager,0.3000000000000001
336,Masters,0-15,Senior,1.0
337,PhD,0-15,Senior,0.8441558441558442
337,PhD,15-30+,Senior,0.15584415584415584
338,Masters,0-15,Junior,0.7
338,PhD,0-15,Junior,0.3000000000000001
339,Masters,0-15,Senior,0.8441558441558441
339,Masters,15-30+,Senior,0.15584415584415584
340,Masters,0-15,Junior,0.7
340,PhD,0-15,Junior,0.3000000000000001
341,Masters,15-30+,Senior,1.0
342,PhD,0-15,Senior,1.0
343,Masters,0-15,Senior,0.8441558441558442
343,Masters,15-30+,Senior,0.15584415584415584
344,Masters,0-15,Junior,0.8441558441558441
344,Masters,15-30+,Junior,0.15584415584415584
345,PhD,0-15,Manager,1.0
346,Masters,0-15,Manager,0.8441558441558441
346,Masters,15-30+,Manager,0.15584415584415584
347,Masters,15-30+,Manager,1.0
348,Masters,15-30+,Senior,0.7
348,PhD,15-30+,Senior,0.3
349,Masters,15-30+,Senior,1.0
350,PhD,0-15,Senior,0.8441558441558442
350,PhD,15-30+,Senior,0.15584415584415584
351,Masters,0-15,Senior,0.8441558441558441
351,Masters,15-30+,Senior,0.15584415584415584
352,Masters,15-30+,Senior,1.0
353,PhD,0-15,Senior,1.0
354,Masters,0-15,Senior,1.0
355,Masters,15-30+,Senior,1.0
356,Masters,0-15,Junior,0.7
356,PhD,0-15,Junior,0.3000000000000001
357,Masters,15-30+,Senior,0.7
357,PhD,15-30+,Senior,0.3
358,Masters,0-15,Senior,0.7000000000000001
358,PhD,0-15,Senior,0.30000000000000004
359,Masters,15-30+,Senior,1.0
360,Masters,15-30+,Senior,1.0
361,Masters,0-15,Manager,0.6999999999999998
361,PhD,0-15,Manager,0.30000000000000004
362,Masters,0-15,Junior,0.8441558441558441
362,Masters,15-30+,Junior,0.15584415584415584
363,Masters,0-15,Senior,1.0
364,PhD,0-15,Senior,0.8441558441558442
364,PhD,15-30+,Senior,0.15584415584415587
365,Masters,15-30+,Senior,0.7
365,PhD,15-30+,Senior,0.3
366,Masters,0-15,Senior,0.7
366,PhD,0-15,Senior,0.30000000000000004
367,Masters,15-30+,Senior,1.0
368,Masters,15-30+,Senior,0.7
368,PhD,15-30+,Senior,0.30000000000000004
369,Masters,15-30+,Manager,1.0000000000000002
370,Masters,0-15,Senior,1.0
371,Masters,15-30+,Junior,0.7
371,PhD,15-30+,Junior,0.30000000000000004
372,Masters,0-15,Junior,0.8441558441558441
372,Masters,15-30+,Junior,0.15584415584415584
373,Masters,0-15,Senior,0.7
373,PhD,0-15,Senior,0.3
374,Masters,0-15,Senior,1.0
375,PhD,0-15,Senior,1.0
376,Masters,15-30+,Senior,0.7
376,PhD,15-30+,Senior,0.3
377,Masters,15-30+,Senior,1.0
378,Masters,15-30+,Senior,0.7
378,PhD,15-30+,Senior,0.30000000000000004
379,PhD,0-15,Senior,0.8441558441558442
379,PhD,15-30+,Senior,0.15584415584415587
380,Masters,0-15,Senior,0.8441558441558441
380,Masters,15-30+,Senior,0.15584415584415584
381,Masters,15-30+,Senior,0.7
381,PhD,15-30+,Senior,0.3
382,Masters,0-15,Junior,1.0
383,Masters,15-30+,Senior,0.7
383,PhD,15-30+,Senior,0.3
384,Masters,15-30+,Manager,1.0
385,Masters,0-15,Junior,1.0
386,PhD,0-15,Junior,1.0
387,Masters,0-15,Senior,1.0
388,Masters,0-15,Senior,0.8441558441558441
388,Masters,15-30+,Senior,0.15584415584415587
389,PhD,0-15,Senior,1.0
390,Masters,15-30+,Manager,1.0000000000000002
391,Masters,15-30+,Senior,1.0
392,Masters,0-15,Senior,1.0
393,Masters,0-15,Junior,0.7
393,PhD,0-15,Junior,0.30000000000000004
394,PhD,15-30+,Manager,1.0
395,Masters,0-15,Senior,1.0
396,Masters,0-15,Senior,0.8441558441558441
396,Masters,15-30+,Senior,0.15584415584415584
397,Masters,15-30+,Senior,0.7
397,PhD,15-30+,Senior,0.3
398,Masters,0-15,Senior,0.8441558441558442
398,Masters,15-30+,Senior,0.15584415584415584
399,PhD,0-15,Senior,1.0
400,PhD,0-15,Senior,1.0
401,PhD,0-15,Manager,0.8441558441558442
401,PhD,15-30+,Manager,0.15584415584415584
402,PhD,0-15,Manager,0.8441558441558442
402,PhD,15-30+,Manager,0.15584415584415584
403,Masters,0-15,Junior,0.5909090909090908
403,Masters,15-30+,Junior,0.10909090909090907
403,PhD,0-15,Junior,0.2532467532467533
403,PhD,15-30+,Junior,0.046753246753246755
